,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",1405.470,99.323,335.658,1741.128
1,"(0, 0, 1)",1245.522,100.172,590.060,1835.582
2,"(0, 0, 2)",787.253,87.705,585.666,1372.919
3,"(0, 0, None)",713.766,147.735,295.470,1009.236
4,"(0, 1, 0)",688.541,100.832,505.778,1194.319
5,"(0, 1, 1)",688.541,100.832,909.106,1597.647
6,"(0, 1, 2)",687.808,88.291,611.532,1299.340
7,"(0, 1, None)",688.541,100.832,304.114,992.655
8,"(0, None, 0)",1285.670,102.285,140.418,1426.088
9,"(0, None, 1)",713.766,147.735,886.410,1600.176
10,"(0, None, 2)",710.006,102.717,581.220,1291.226
11,"(0, None, None)",713.766,147.735,0.000,713.766
12,"(None, 0, 0)",1904.304,66.933,57.636,1961.940
13,"(None, 0, 1)",1615.828,65.484,39.096,1654.924
14,"(None, 0, 2)",1195.782,83.943,58.536,1254.318
15,"(None, 0, None)",1570.272,108.558,0.000,1570.272
16,"(None, 1, 0)",1490.321,84.609,81.144,1571.465
17,"(None, 1, 1)",1134.731,84.609,207.738,1342.469
18,"(None, 1, 2)",693.566,84.609,257.580,951.146
19,"(None, 1, None)",691.408,143.298,0.000,691.408
20,"(None, None, 0)",2311.720,93.762,-0.000,2311.720
21,"(None, None, 1)",1610.446,110.952,0.000,1610.446
22,"(None, None, 2)",694.339,143.397,0.000,694.339
