,Processor Combination,Task Energy,Total Execution Time,Idle Energy,Total Energy
0,"(0, 0, 0)",974.726,59.535,192.900,1167.626
1,"(0, 0, 1)",806.454,59.460,192.810,999.264
2,"(0, 0, 2)",474.766,48.725,128.600,603.366
3,"(0, 0, None)",396.536,82.075,328.300,724.836
4,"(0, 1, 0)",382.522,56.880,182.370,564.892
5,"(0, 1, 1)",382.522,56.880,182.370,564.892
6,"(0, 1, 2)",382.115,50.815,146.120,528.235
7,"(0, 1, None)",382.522,56.880,182.370,564.892
8,"(0, None, 0)",896.780,59.595,193.590,1090.370
9,"(0, None, 1)",396.536,82.075,328.300,724.836
10,"(0, None, 2)",394.446,57.065,178.710,573.156
11,"(0, None, None)",396.536,82.075,328.300,724.836
12,"(None, 0, 0)",1431.551,47.005,127.190,1558.741
13,"(None, 0, 1)",1142.839,46.095,119.170,1262.009
14,"(None, 0, 2)",702.498,46.635,120.780,823.278
15,"(None, 0, None)",1155.155,79.610,318.440,1473.595
16,"(None, 1, 0)",1031.998,47.005,122.630,1154.628
17,"(None, 1, 1)",702.904,47.005,122.630,825.534
18,"(None, 1, 2)",385.315,47.005,122.630,507.945
19,"(None, 1, None)",384.117,79.610,318.440,702.557
20,"(None, None, 0)",1884.056,76.345,305.380,2189.436
21,"(None, None, 1)",1146.092,78.790,315.160,1461.252
22,"(None, None, 2)",385.742,79.665,318.660,704.402
